name,image,link,ratings,no_of_ratings,discount_price,actual_price,name_length,price_difference,rating_ratio,log_actual_price,discount_percentage,yeojohnson_actual,yeojohnson_discount
"amazon brand - solimo mira multi-purpose laptop table with cup holder (brown, wood, pack of 1)",https://m.media-amazon.com/images/I/61aywCU24uS._AC_UL800_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Multi-Purpose-Laptop/dp/B08TX3JZ7F/ref=sr_1_3115?qid=1679133848&s=electronics&sr=1-3115,3.4,520.0,459.0,1300.0,94.0,841.0,0.006538461538461538,7.170888478512505,64.6923076923077,0.13722396690428137,0.14356582156756856
half moon large 37l laptop bag backpack for menं women boys and girls luggage travel bags with 17.3 inches laptop compartm...,https://m.media-amazon.com/images/I/61+w+ERVanL._AC_UL800_.jpg,https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X/ref=sr_1_3116?qid=1679133848&s=electronics&sr=1-3116,3.9,299.9622929380994,849.0,2899.0,125.0,2050.0,0.01300163417808254,7.9724660159745655,70.7140393239048,1.3277843435955416,0.992435373431105
canon cl-57 ink cartridge (color),https://m.media-amazon.com/images/I/41-tvuK5eIL._AC_UL800_.jpg,https://www.amazon.in/Canon-CL-57-Ink-Cartridge-Color/dp/B00KBSQ17C/ref=sr_1_3117_mod_primary_new?qid=1679133848&s=electronics&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-3117,4.2,299.9622929380994,1197.0,1258.0,33.0,61.0,0.01400175988408889,7.138073034044347,4.848966613672496,0.0932956352962915,1.4655442393257778
"micromax x412 (blue, auto call recording, 800mah)",https://m.media-amazon.com/images/I/61lSxpzuLwL._AC_UL800_.jpg,https://www.amazon.in/Micromax-X412-Blue-Recording-800mAh/dp/B07XCNWVW3/ref=sr_1_3118?qid=1679133848&s=electronics&sr=1-3118,3.6,299.9622929380994,940.0,1499.0,49.0,559.0,0.012001508472076192,7.313220387090301,37.29152768512341,0.3319025854770483,1.1327508338968004
sounce anti fall dust protection case cover compatible with oppo enco buds headphones case silicone headset case with keyc...,https://m.media-amazon.com/images/I/51UqrVPTNML._AC_UL800_.jpg,https://www.amazon.in/Sounce-Protection-Compatible-Headphones-Silicone/dp/B0BPLYD48M/ref=sr_1_3120?qid=1679133848&s=electronics&sr=1-3120,4.3,267.0,99.0,999.0,125.0,900.0,0.01610486891385768,6.907755278982137,90.09009009009009,-0.20526698702711738,-1.979472291896459
xynity 's advanced hd+ tempered glass screen protector designed for google pixel 6a - edge to edge full screen coverage wi...,https://m.media-amazon.com/images/I/61IBSVl-rwL._AC_UL800_.jpg,https://www.amazon.in/Advanced-Tempered-Protector-Designed-6A/dp/B0B76Q96PN/ref=sr_1_3121?qid=1679133848&s=electronics&sr=1-3121,4.4,367.0,245.0,999.0,125.0,754.0,0.011989100817438694,6.907755278982137,75.47547547547548,-0.20526698702711738,-0.7248809679302657
cotbolt silicone protective case cover for lg an mr21ga magic remote shockproof for lg smart tv remote 2021 protective ski...,https://m.media-amazon.com/images/I/61-nNgSN9JL._AC_UL800_.jpg,https://www.amazon.in/Cotbolt-Silicone-Protective-Shockproof-Waterproof/dp/B09TT6BFDX/ref=sr_1_3122?qid=1679133848&s=electronics&sr=1-3122,4.5,687.0,399.0,1999.0,125.0,1600.0,0.006550218340611353,7.600902459542082,80.040020010005,0.7467612726795715,-0.05008194734104431
zebronics zeb-bang bluetooth wireless over ear headphones with mic (orange),https://m.media-amazon.com/images/I/71YDoi-vKYL._AC_UL800_.jpg,https://www.amazon.in/Zebronics-Zeb-Bang-Bluetooth-Headphone-Assistant/dp/B07YNV5Q1M/ref=sr_1_3125?qid=1679133849&s=electronics&sr=1-3125,3.7,299.9622929380994,599.0,1399.0,75.0,800.0,0.012334883707411641,7.24422751560335,57.18370264474625,0.23668667858519052,0.5112753727616475
"elv direct wall mount mobile holder, charging holder compatible all smartphone and remote stand/organizer/showpiece for tv...",https://m.media-amazon.com/images/I/61r4hi-TOVL._AC_UL800_.jpg,https://www.amazon.in/ELV-Compatible-Smartphone-Organizer-showpiece/dp/B08RXF4Z3R/ref=sr_1_3126?qid=1679133849&s=electronics&sr=1-3126,4.1,443.0,149.0,499.0,125.0,350.0,0.009255079006772008,6.214608098422191,70.14028056112225,-1.0084474860186226,-1.4135408101255975
callmate 20000 mah lithium polymer digital display power bank with in-built 4 in 1 cable usb input port dx15 with 18 watt ...,https://m.media-amazon.com/images/I/61V17UdOncL._AC_UL800_.jpg,https://www.amazon.in/CALLMATE-Portable-Charger-Li-Polymer-Digital/dp/B08PDC4ZYH/ref=sr_1_3130?qid=1679133849&s=electronics&sr=1-3130,3.4,128.0,1199.0,2499.0,125.0,1300.0,0.0265625,7.824046010856292,52.020808323329334,1.0893265888685761,1.4678415576840338
